id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,24,1,6,1,25,20,22,22,0,1,1,1,1,1,1,13,1,1,1,13,1,1,18,10,13,1,15,1
mh1,mh1,50.0,1,1,1,1,1,2,1,3,8,8,3,3,3,3,3,0,0,3,0,5,3,3,3,3,7,3,3,3,6,3
mh2,mh2,50.0,1,1,1,1,1,16,18,0,0,0,0,4,4,4,9,0,0,4,0,0,4,4,9,10,0,4,7,10,10,10
mh3,mh3,50.0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,3,3,1,1,1,3,3,1,8,1
mh4,mh4,50.0,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,1,1,1,1,12,1
mnh0,mnh0,50.0,1,1,1,1,1,1,25,1,1,19,4,1,1,1,1,1,6,1,6,7,1,1,18,16,17,9,11,1,16,16
mnh1,mnh1,50.0,1,1,6,1,1,6,27,24,6,6,11,11,11,11,11,11,11,15,11,11,11,15,22,11,11,14,15,11,11,11
mnh2,mnh2,50.0,1,1,1,1,1,1,24,1,21,23,1,1,1,1,13,1,1,7,1,1,1,7,17,10,15,1,9,10,11,12
mnh3,mnh3,50.0,1,1,3,1,1,3,3,7,24,3,9,9,9,9,9,9,10,17,10,10,9,17,9,18,21,14,17,18,18,18
mnh4,mnh4,50.0,1,1,10,1,8,11,10,11,11,11,11,13,13,13,15,13,13,13,13,13,13,13,18,16,18,14,13,16,17,16
mnh5,mnh5,50.0,1,2,1,1,2,1,16,1,1,15,1,1,1,1,12,1,1,1,1,1,5,1,1,9,14,1,8,9,11,9
mnh6,mnh6,50.0,1,2,1,2,5,1,1,6,25,24,6,13,13,13,6,10,6,13,6,6,14,13,6,6,20,13,13,6,6,18
mnh7,mnh7,50.0,1,1,1,1,1,1,12,1,10,10,1,1,1,1,3,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1
mnh8,mnh8,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,7
mnh9,mnh9,50.0,1,1,9,1,3,1,9,1,1,1,1,1,1,1,1,4,1,1,5,1,6,1,1,1,1,1,1,1,1,7
mnh10,mnh10,50.0,1,2,1,5,2,1,1,1,25,26,9,1,1,1,1,13,13,1,15,13,1,1,21,1,24,1,1,17,1,1
mnh11,mnh11,50.0,1,1,20,1,1,3,21,3,3,3,5,6,6,6,3,3,3,6,3,3,7,6,3,17,3,11,6,17,17,17
mnh12,mnh12,50.0,1,2,4,1,3,4,23,4,4,4,4,4,4,4,4,8,4,10,4,4,4,10,4,14,4,4,10,14,14,14
mnh13,mnh13,50.0,1,1,1,1,1,7,1,7,7,36,8,12,12,12,32,8,8,12,8,8,12,12,33,17,16,12,15,17,29,17
mnh14,mnh14,50.0,2,1,4,1,1,4,4,4,4,4,4,4,4,4,15,4,4,4,4,7,8,4,15,4,17,4,4,4,11,4
lpsh0,lpsh0,1.0,1,0,1,0/3,0,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,1,1,1,5,5
lpsh1,lpsh1,1.0,0,0/2,3,2,2,3/4,0/20,3/4,3,3,6,4,4,4,16/3,4,4/8,4,4,4/8,4,4,3,3,17,4,9/11,3,3/12,3
lpsh2,lpsh2,1.0,1,1,1,1,1,1,1,2,1,1,3,3/8,3/5/6,3/5/6,3,4,4,3,4,4,5,3,3,3,3,3,7,3,3,3
lpsh3,lpsh3,1.0,1,1,1/12,2,1,1,11,1,1,1,1,9/10,4,4,1,5,5,4,5,5,6,4,1,1,1,4,4,1,1,1
lpsh4,lpsh4,1.0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,6,1,1,0,6,17,11,16/19,0,9,0,15,11
lpsh5,lpsh5,1.0,1,1,0,0,1,1,0,1,21,22,1,14/15,3,3,1,1,1,3,1,1,3,3,1,1,1,3,12,17/18,1,1
lpsh6,lpsh6,1.0,1,1,1,1,1,1,1,1,1,17,2,0,0,0,0,0,0,4,0,0,0,4,9,0,10,0,4,0,0/7,0
lpsh7,lpsh7,1.0,0,0,15,0/1,0,0,0,0,0,14,0,0,0,0,8,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0
lpsh8,lpsh8,1.0,1,1,1,1,1,2,1,2,2,20,2,6,15,15,3,3,3,6,3,5,13/14,17,3,3,3,16/15,0/18,3,3,3
lpsh9,lpsh9,1.0,1,2,1,2/4,2,1/18,0,1,1,1,6,1/7/9,0/7/9,0/7,9,8,1,7,1,1,1/11,17,9,9,9,0,17,9,9,9
lpsnh0,lpsnh0,1.0,1/2,1/4,5,3,1,23,27,11/12,11,11,11,12,12,12,12,12,12,15,12,12,12,16,12,18,12,12,15,18/19,20,18
lpsnh1,lpsnh1,1.0,1,2,1,1,2,1,1,85,88,88,1/3,1,1,1,1,69,69,1,69,69,73/74,1,1,1,84,70,82,1,1,1
lpsnh2,lpsnh2,1.0,1,4,22,2/3,4,1,1/23,1,1,21,1,1,1,1,1,1,1,12,1,1,9,12,1,17,19,1,12,1/15,17,1/15
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1/9,4,1,1/6,7,1,1,1,1,7,1,1,1
lpsnh4,lpsnh4,1.0,1,1/2,1,1,6,1,1,1,1,1/34,1/7/8,1,1/21,1/21,22,12,11/13/14,1,11/13/14,13,16/1,1,22,22,32,18,1,22,22/26,22
lpsnh5,lpsnh5,1.0,1,1,1,1,1,1,1/11,2,1,10,2,2,4,4,2,2,2,3,2,2,3,3,2,8,2,4,3,2,8,2
lpsnh6,lpsnh6,1.0,1,1/2,28,1,1,1,28,1,1,1,1,7,1,1,1,1,1/6,1,1/5,5,8,1,24,13,1,1,1,14,1,13
lpsnh7,lpsnh7,1.0,1,1/8,1/31,7,1,1/29,1,1,1,1,1,11,11,11,11,10,10,11,10,10,11,11,24/26,11,28,11,11,18,11,18/19
lpsnh8,lpsnh8,1.0,1,1/3,1,1,1/3/4,1,1,1,41,42,1/8/9,6,23/12,12,28,5/10,5/11,25/12,11,11,12,25/12,36,28,28,20,26/27,31,34,35/28
lpsnh9,lpsnh9,1.0,1,1,34,1,1,31,38,3,3,3,3,3,3,3,3,6,3,3/13,3/7,3/7,11,3,28,3,3/30,3,3/13,3,3,3
lpsnh10,lpsnh10,1.0,1,1,1,2/3,1,1,1,1,1,1,1,1,1,1,1,1/4,1,1,1,1/5,7,1/9,23,1,1,1,10,1,13,1
lpsnh11,lpsnh11,1.0,1/2,1,3/27,1,1,3,27,4,3,3,6,16,10,10,6,6,6,10/11,6/8,6/8,6/13,14,17,6,24,10,14,6,6,6
lpsnh12,lpsnh12,1.0,1,1,1,1,1,1,17/18,5,1,1,1,1,1,1,16/14/15,1,1,1,1,1,1,1,12,10,12,7,1/8,10,10/11,10
lpsnh13,lpsnh13,1.0,1,1,1,1,1/2,1,1,1,1,1,3,3,3,3,32,3,3,12,5,5,6,12,32,17,32,11,12,1/14,28,1/30
lpsnh14,lpsnh14,1.0,1,1,21,1,1,1,21,1,1,20,6,6,6,6,6,8/10,8/12,16/6,8,8/11,6,6,6,17,6,6,15,17,17,17
lpsnh15,lpsnh15,1.0,1,1,3,1,1,3,3,3,18/3,3/20,3,3,10,10,3,7,7,9,7,7,9,11,16,3,17,10,9/11,3/12,3,3
lpsnh16,lpsnh16,1.0,1,1,28,1,1,2,28,2,2,2,2,2/12,2,2,13,3,2/3,2,2,2,5,2/11,23,13,26,10,2,13,13,13/15
lpsnh17,lpsnh17,1.0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1/15,11,18,5,8,1,14,1
lpsnh18,lpsnh18,1.0,1,2/3,1/23,1,2,1,1,1,1,22,6,1,5,5,5,5,5,8,5,5,5,8,20,13,5,5,8,13,16,17/18
lpsnh19,lpsnh19,1.0,1,1,1/4,1,3,7,1/4,7,7,23,7,7,7,7,11,7,7,7,7,7,7,7,22/11,11,11,10,7,11/15,11,20
lpsnh20,lpsnh20,1.0,1,1,5,1,2,5,20/21,5,5,5,5,7,5/7,5/7,13,6,6,10,6,6,5/8,10,13,16,13,5,12,15,16,13
lpsnh21,lpsnh21,1.0,1,1,1,1,1,1,1,1,1,31,1,1,1,1,1,1,1,1,1,1,11,1,30,26/28,1,12,16/1/17,28,28,26
lpsnh22,lpsnh22,1.0,1,1,1,1,1,1,1,1,13,1,1,1,8,8,12,4/5,4,1,4,4,6/7,1,12,10,12,1,1,10,10,10
lpsnh23,lpsnh23,1.0,1,2,1,1,4,1,1,1,1,1/12,5,1,1,1,1,1,1,1,1,1,1,1,1,10,1,7,1,10,10,10
lpsnh24,lpsnh24,1.0,1,1,5,1,1,5,5,5,5,5,5,5,14,14,5,10,10,16/14,10,10,16,14,5,24,25,17,22,5,24,5/24
lpsnh25,lpsnh25,1.0,1,1,1,1,1/2,1,24,1,21,21,1,1,16/1,16/1,1,7,7,1,7/8,7/8,12,1,1/18,1,1,15,1,1,1,1
lpsnh26,lpsnh26,1.0,1,1,1,1,7/8,1,31,9,1,1,9,9,9,9,21,9/10,9,9,9,9,9,9,23,16/17/18,16,9,9,16,19,20
lpsnh27,lpsnh27,1.0,1,1/2,5,1,4,7/10,5,20/10,7,24,10,10,10,10,16/17,10,10,14,10,12,10,14/15,18,10,10,10,14,10,10,10
lpsnh28,lpsnh28,1.0,1,1,1,1/2,1,1,1,1,1/26,1/26,1/4,9,9,9,9,7,7,9,7,7,13,9,24,18/19/9,9,9,9,17,18,19/20/22
lpsnh29,lpsnh29,1.0,1,1/2,1,1,1,1,1,4,1/22,1,4,4,4/6,6,4,4,4/5,6,4,4,6,6,4,4,4,17,18,4,4,4
lpsnh30,lpsnh30,1.0,1,1,1,3,1,1,1,1,1,17,1,1,1,1,1,1,1,11,1,1/5,1,11,14,12,14/15,7,11,1,12,12
lpsnh31,lpsnh31,1.0,1,2,1,1,2,32/1,1,1,33,1,1,1/7/8,7,7,9,4,4,7,4,4,7,7,31,12,9,7,7,18/19,24,12
lpsnh32,lpsnh32,1.0,1,1,1,2,3,1,1/23,1,1/22,1,4,1,1,1,1,5,5,10,5,7/8,1,10,1,4,20,1,13,17,4,19/4
lpsnh33,lpsnh33,1.0,1,2,1,1,2,1,1,1,1,26,1,14,1,1,1,1,4/6,1,4/5,4/5,1/10,1,17,1,18,11,1,1,1,1
lpsnh34,lpsnh34,1.0,1,1,3,1,2,3,3,3,3,18/3,3,3,3,3,3,5,5,3,5,5,8,3,3,17/3,3,13/14,3,3,3,3
lpsnh35,lpsnh35,1.0,1,1,8,5/6,1,8,1/8,18/8,19/8,20/8,9,8/13,11,11,16,8,8,8,8,8,8,8/12,16,8,16,8,8,14,8,8
lpsnh36,lpsnh36,1.0,1,1,22,1,4,18,5,1,1,1,1,8,1,1,1,7,1,1,1,1,1,1,16/1,13,1,10,1,13,13,13/14
lpsnh37,lpsnh37,1.0,1,1,1/25,2/3,1,1,23,1,1,1,1,1,6,6,20,1,1,6,1,1,9,6,1,1,1,11,6,15,1,17
lpsnh38,lpsnh38,1.0,1,1,23,1,1,1,23,1,18,21,1,1/10/11,1/5,1,13,2,2,6/9,2,2/3,4,8,13,13,16/13,1,6,13/14,13/15,13
lpsnh39,lpsnh39,1.0,1,2/3,1,1,2/3,1,1,1,1,1,1,9,10,10,1,5,5/7,9,7,7,9/10/11,9,1,1,1,12,9,1,1,14
lpsnh40,lpsnh40,1.0,1,1,5,1/2,3,5,5,5,5,20/25,5,5,5,5,5,5,5,5,5,5,5,5,17/18,5,5,10,5,15,5,5
lpsnh41,lpsnh41,1.0,1,1,3,1/2,1,3,3,3,18,18,3,7,3,3,3,3/4,3,3,3,3,3,3,3,8/11,3,3,3/6,8,8,12/13
lpsnh42,lpsnh42,1.0,1,1,1/2,1,1,2,1/2,1/2,1/2,1,1/2,2/23,2,2,2,5,4,18,4/5,4,2,18,2,2,27/28,2,20,24,2,2/25
lpsnh43,lpsnh43,1.0,1,1/3,4,1,1,4,4,4,4,4/14,4,9,4,4,4,4,4,4/7/8,4,4,4,7,13,4,4,4,7,4,12,4
lpsnh44,lpsnh44,1.0,1,1,7,1,2,7,7,7,7,7,7/8,15,10/12,10/12,8,8,8,9/14,8,8,10,9,8,8,24,9,9,8,21/8,22
lpsnh45,lpsnh45,1.0,1,1,1,1,2,1,1,1,22,1,1,1,1,1,1,12/13,10,1,10,10,14,16/1,1,1,1,1,1/17,1,1,1
lpsnh46,lpsnh46,1.0,1,1,1,2,1,5,1,5,5,5,5,13,5,5,5,6,5,5,5,5,5,5,5,14,5,12,5,15,14,14
lpsnh47,lpsnh47,1.0,1,1,7/30,1,1,7,7,7,7,7,8,8,8,8,8,11/13,11/13,8,11,11,8,15,28,25,8,8,8,23,18,18/26
lpsnh48,lpsnh48,1.0,1,1,3,1,1/2,3,3,3,3/23/24,23,3,3,6,6,17/18,3,5,12,3/5,3,6,16,17/18,3,22,8,12,17/3,19,18/3
lpsnh49,lpsnh49,1.0,1,1,1,1,1,2,19,16/1,1,1,1,9,1,1,1,4,4/6,1,4,4,1,1,1/14,1,15,1,1,12,1,1/13
lpsnh50,lpsnh50,1.0,1,1,1,1,1,1,1/24,1,1/23,1,1,1/11,1,1,1,6,7,1,7/8,8,1,1,16/18,1,20,1/9,1,1,1/15,1
lpsnh51,lpsnh51,1.0,1,1,1,1,1/2,1,1/23,3,1,1,4,18,3,3,3,11/14,11,3,11,11,3,3,3,3,3,17,3,3,3,21/22
lpsnh52,lpsnh52,1.0,1,1,23,1,2,1,23,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,6,22,12,13,17,6,6
lpsnh53,lpsnh53,1.0,1,1/3,13,1,12,1,27/13,1,25,23,1,1,1/14,1/14,1,1,1,14,1,1,14,14,21,1,1,1,14,1,20,1
lpsnh54,lpsnh54,1.0,1,1,2,1,1,2,20,2,19,19,4,2,2/6,2/6,2,2/5,2,9,2,2,2,9,2,12,16,2,9,12,12,12
lpsnh55,lpsnh55,1.0,1,1/2,1/3,1,1,3,1,3,1,1/18,1/4,13,1,1,1,7,7,11/12,7/10,7/10,1,1/11,16,1,17,1,1,1,1,1
lpsnh56,lpsnh56,1.0,1,1,1,2,6,1,40,1,1,1,1,31,1/24,1/24,1,22,22,25,22,23,1,25,1,35/36,1,24,29,35,39,35
lpsnh57,lpsnh57,1.0,1,1,1/4,1,1,4,1,4,4,16,4,4,4,4,4,4/6,4,13/14,4/7,4/7,4,13,4,4,4,11,13,4,4,4
lpsnh58,lpsnh58,1.0,1,1,1,1,1,3,1,3,3,11,5,5/9,9,9,5,6/7,5,9,5/8,5,9,9,5,5,5,9,10,5,5,5
lpsnh59,lpsnh59,1.0,1,1,27,1,2,4,4,6,4,26,6,6,6,6,6,8,7,6,7,7,6,6,6,18,6,11,6,22,18,23/25
lpsnh60,lpsnh60,1.0,1,2,14,3,2,4/5,14,5,4/5,4,5,5,7,7,12,5,5,7,5,5,7,7,12,5,12,8,7,5,5,5/11
