id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,0,1,0,5,5,11,11,1,1,1,1,1,1,1,7,1,0,1,4,0,1,1,5,10,0,0
mh1,mh1,50.0,0,0,10,0,0,6,0,0,13,0,20,11,0,0,0,18,0,23,19,0,0,4,0,19,10,10,13,19,20,0
mh2,mh2,50.0,21,1,7,11,15,1,1,7,7,19,19,7,1,1,17,1,6,1,1,1,1,1,11,1,7,7,7,1,19,1
mh3,mh3,50.0,35,32,1,1,1,3,0,13,13,1,30,8,1,1,1,1,1,31,1,1,0,1,11,1,5,0,13,24,1,33
mh4,mh4,50.0,3,26,28,10,14,3,3,10,15,3,3,3,1,3,3,0,0,3,20,3,23,3,10,19,3,3,10,3,22,3
mnh0,mnh0,50.0,1,27,1,1,1,1,25,1,1,24,24,1,1,1,1,12,1,29,14,1,25,1,9,15,1,1,1,14,24,25
mnh1,mnh1,50.0,39,4,4,14,4,4,4,4,4,28,28,8,1,42,18,34,4,4,4,4,4,7,4,4,4,4,4,21,28,4
mnh2,mnh2,50.0,35,1,11,16,11,6,1,17,21,1,1,11,39,1,1,1,1,1,1,1,1,7,11,25,11,11,17,29,32,1
mnh3,mnh3,50.0,36,2,2,25,19,13,35,2,2,2,2,2,39,2,27,2,14,38,2,9,2,9,19,2,2,2,2,2,2,30
mnh4,mnh4,50.0,17,15,13,4,4,4,15,4,4,4,4,9,1,4,14,4,7,15,4,4,15,4,4,4,9,4,21,4,4,15
mnh5,mnh5,50.0,3,3,9,6,6,8,23,6,6,20,16,12,25,3,3,16,6,3,16,6,3,6,6,16,12,14,6,16,19,3
mnh6,mnh6,50.0,3,3,7,3,3,3,3,3,3,3,3,3,1,19,3,3,3,3,12,3,3,3,3,12,3,5,3,13,3,3
mnh7,mnh7,50.0,20,20,2,2,2,2,23,10,2,17,2,2,1,2,11,2,2,20,2,2,20,2,2,2,2,2,2,2,15,20
mnh8,mnh8,50.0,19,19,26,1,1,1,22,1,1,13,13,10,1,1,1,1,1,19,1,3,19,1,1,1,7,7,25,12,13,19
mnh9,mnh9,50.0,1,1,7,1,1,5,1,1,1,24,1,7,1,1,15,1,1,1,1,2,1,5,1,1,7,8,1,1,1,1
mnh10,mnh10,50.0,51,54,8,21,21,8,38,8,22,25,25,8,1,8,8,8,8,28,8,8,36,8,21,8,8,19,8,8,27,28
mnh11,mnh11,50.0,40,45,49,8,11,3,40,21,2,30,30,2,1,48,2,2,2,40,30,3,43,3,18,30,2,2,2,33,30,40
mnh12,mnh12,50.0,42,44,51,15,23,4,37,27,27,35,30,11,1,49,1,1,1,37,30,1,41,1,13,32,1,12,27,33,30,37
mnh13,mnh13,50.0,32,32,5,5,5,3,32,5,10,26,21,5,1,1,1,30,4,37,12,3,32,3,7,12,5,5,5,12,21,34
mnh14,mnh14,50.0,1,1,8,8,14,6,1,8,8,16,16,9,1,1,1,1,1,1,18,6,1,6,8,17,9,9,8,18,16,1
lpsh0,lpsh0,1.0,38,34,0,0,0/13,0,0,0,0,0/30,0,10,1,0,0,33,5,34,0,0,34/35,0,0,25,10,8/10,0,28,0,0
lpsh1,lpsh1,1.0,23,1,8,0,0,1/3,1,0,0/10/11,1,1,0,1,1,1,16,1,1,13,1,1,1,0,12/14,0,0/5,0,1,1,1
lpsh2,lpsh2,1.0,1,0,32,1,3,1,22,1,0,15,7,1,1,1,5/6,1,1,1,10,0,18,1,1,7/9,1,1,0,7,7/14,1
lpsh3,lpsh3,1.0,14,20/14,4,1,1,1,17,7,1,1,1,1,1,1,1,1,1,14,10,1,0,1,1,1,1,1/3,22,1,0/1,0
lpsnh0,lpsnh0,1.0,38,38,21/39,18/27,26,12,7,32,31,7,7,18/19,1,7,7,7,14,7,34,12/13,7,12,26,34/35,18,18,18/31,34/21,7,7
lpsnh1,lpsnh1,1.0,1,1,25,1,17,6,22,1,1,1,1,1,1,1/23,18,1,1,1,1,5,1,5,1,1,1,8,1,1,1,1/21
lpsnh2,lpsnh2,1.0,18,24,25/10,14,14,4/5,18,14,14,2,2,12,1,2,2/3,2,7,18,2,2,20,6,14,2,10,13,14,16,2,18
lpsnh3,lpsnh3,1.0,14,33/30,5,1,1,2/3/4,14,1,1,10,10,5,34,1,1,10,1,10,12,1,14,1,1,10,5,5/6,1/35/36,10,10,14
lpsnh4,lpsnh4,1.0,1/22,25,32,9,9,1,1,9,9,1,1,6,1,31,1,1,1,1,19,3/4,1,1,9,1,6,7,9,18,20,23
lpsnh5,lpsnh5,1.0,2,37,21,9,9,5,34,28,26,30,30,9/11,1,1,2,29,9,2/40,31,3,35,3,9,30,9/11,9/12,9,42,30,34
lpsnh6,lpsnh6,1.0,19,19,5,2,8,1,19/23,2,2,10,10,5/6/7,1,1,1,1,1/2,25,9,1,19,1,2,13,5,5,2,9,10,19
lpsnh7,lpsnh7,1.0,1,1,1,1,1,2,25,1,16/1,21,21,12,1,1,1,1,1,1,17,2/3,1,2,1,18,1,14,1,17/27,21,1
lpsnh8,lpsnh8,1.0,7,7,7,7,7,7,7,20,20/21,23,23,7,1,5,7,22,7,7,23/25,9/10,7,7,17/19,23,7,13,20,23,23/27,7
lpsnh9,lpsnh9,1.0,41,23,12/46,12,20,5,23,12,12,36,36,12,1,3,3,3,16/12/15,23,23,3/5/7,23,3/9/10/11,22/12,34,12,12,12,23,36,23
lpsnh10,lpsnh10,1.0,40/41,43/30,13,14,15,1,33/34,2/18/14,2,26,24,11,1,1,1,29,1,30,1,1,30,1,2/14,1,11,12,2/18/14,19,24,33
lpsnh11,lpsnh11,1.0,37,2,13,2,2,9,2,2,16,2,26,2,1,2,2,33,2,2,2,6,2,10,2,2,2,2,2,2,2/18/19,2
lpsnh12,lpsnh12,1.0,2/19,2,2,2,2,2,2,2,11,2,2,9,1,1,12,2,2/6,2,15,2,2,5,2,2,8,2,2,15,2,2
lpsnh13,lpsnh13,1.0,24,45,35,24,24,27/29,24,24,24,24,24,24,1,24,24,24,33,24,36,24,38,32,24,24,24,34,49,36,24,24
lpsnh14,lpsnh14,1.0,24,24/28,7/30,12,6,3/4,26,15,17,22,22,7,1,1,1,18/23,1,18/24,20,1,18/24,2,6,20,7,8,15,32,22,25
lpsnh15,lpsnh15,1.0,18,18,1/33/34,1/6,1,1,18,1,1,16,1,1,1,32/29/30/31,1,1,1,18,1/10,1/2,20,1,1,7,1,1,1,1/35,1/11,18
lpsnh16,lpsnh16,1.0,36,36,1,1,1,1,37,1,1,25/29,28,6,1,1,8,1,1,36,1,1,37,1,1,11,4,1,1,19,28,37
lpsnh17,lpsnh17,1.0,35,35,20/5/40/41,23,25/26,8,38,5,5/28,4,4,15,1,2,4,4,5,35,4,9,35,8,5,4,15,17,5/29,31,4,37
lpsnh18,lpsnh18,1.0,21,21,5/25,5,12,8,22,5,5,2,2,5,1,2/5,2/5,2,5,21/22,2,8,21/22,8,5,19,5,5,24,2,2,22
lpsnh19,lpsnh19,1.0,36,33,17,18,19,9/13,31,21,21,24/28,1,16/14,1,1,22,30,14,31,1,9,31,9,20,1,14,14,21/14,25,1/26,31
lpsnh20,lpsnh20,1.0,2,39,40,7,7/14,2/4,34,7,7,2,21,7,1,1,2,27,2,2,2,2,32,2,7,16/2,7,7/9,15,2,24/26,2
lpsnh21,lpsnh21,1.0,1,1,4,4,4,1/2,1,4,4,18/20,14,4,1,1,1,10,1/4/5,1,11,1,1,1,7,1,4,4,4,25,14,1
lpsnh22,lpsnh22,1.0,1,1,8,1/10,1,1,1/19,1,1,17/13/14,16,2,1,1,1,18/13,1,1,13,1,1,1,1,13,2,3,1,15,14,1
lpsnh23,lpsnh23,1.0,1/47,1,23,25/29,29,16,46,36,25,1/38,1,19,1,1,1/37,1,2,49,1,7,40/41,7,32,1,18,20/21,25,1/25,1,46
lpsnh24,lpsnh24,1.0,25,32,1,1,1,11,29,1,1,1,1/22,14,1,1,1,1,1,33/25,1,11,27,11,1,17,14,1/14,16/1,35,1,29
lpsnh25,lpsnh25,1.0,37,41,4/44,4,4,7,40,4,4,23,23,4,1/42/43,4,4,35,4,37,20,7,37,7,4,4,4,4,4,20,23,37
lpsnh26,lpsnh26,1.0,30,31,14,14,14,12,28,12,12,23,24,14,1,12,12,12,13,26,12,12,26,12,14,22,14,16/14,12,12,23,28
lpsnh27,lpsnh27,1.0,30,33/35,37/38,4,5,1,31,7,7/10,28,28,1,1,1,1,1,1,30,19,1,30,1,4/6,12/13,1,1,36/7,24,28,31
lpsnh28,lpsnh28,1.0,26,26,1,1,1/12,7,24,1,1,1,18,8,1,1,1,1,1,1,1,7,23,7,1,1,8,1,1,15,1,1
lpmh0,lpmh0,1.0,38,40,12,12,22/24,8,1,26,12,32,32/36,17,1,1,27,1,0,0/1,29,7,37,7,12,1/28,17,20,12,28/30,32,1
