id,feature,weight,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
a17,bone,1,1,1,1,2,1,1,1,4,5,6,7,1,1,8,1,9,5,5,10,6,6,1,11,12
a18,breast,1,1,2,3,4/16,2,2,2,5,6,7,8,9,1,10,2,11,12,6/17,7,7,7,13,14,15
a19,breathe,1,1,2,3,4,5,5,5,6,7,5/18,5,8,9,10,11,12,13,14/19,5,5,15,5,16,17
a20,burn,1,1,2,3,4,4/15,4,4,5,4,6,7,8,9,10,4,11,12,4,6,6,6,7,13,14
a21,child,1,1,2,3,4/22,5,6/23,7,8,9,10/24,11,12,13,14,5,15,16,17,10,10,18,19,20,21
a22,claw,1,1,2,3,4,5,3,6,3,3,7,3,3,8,9,10,11,12,3,13,7,7,14,15,16
a23,cloud,1,2,5,1,7,11,1/6,5/6/15,8,3,20,4,15,9,10,11,12,13,3/21,14,16,20,17,18,19
a24,cold,1,1,2,3,4,5,6,7/8,9,8,10,17,11,12,13,5,14,8,7/8,10,10,10,17,15,16
a25,come,1,1,2,3,4,5,6/7,6/7,8/16,9,5,10,5,1,11,5,6/7,12,13,5,5,5,14,15,5
a26,count,1,1,2,3,4,5,6,7,8,9,10/11,10,12,13,14,15,16,17,9,18,11,11,10,19,20
a27,cut,1,1,2,3,4,5/18,6,6,7/8,6/8,16/9,7,7,1/17,10,5/18,6,11,12,13,16/9/13,9,14,15,7
a28,day,1,11,2,2,12,3,1,4,13,13,5,6,1,7,8,3,9,13,13,5,5,5,10,14,14
a28a,day,1,13,1,2,14,3,4,4,15,15,5,6,1,7,8,3,9,10,15,5,5,5,1,11,12
a29,die,1,1,2,3,4,5,2,2,2,13,6,7,2,8,8,8,2,9,13,14/15,10,6/10,2,11,12
a30,dig,1,1,2/17,3/18,4,5,6,6,7/19,8,9/20,10,1,11,12,5,6,13,14,9,9,9,10,15,16/21
a31,dirty,1,1,2,3/23,4/24,5,6,7,8,9/25,10/26,11,12,13,14,15,16,17,18,19/27,19/28,19/29,20,21,22/30
a32,dog,1,1,1,1,2,1,1,1,3,1,9,1,4,1,5,1,6,1,1,9,9,9,1,7,8
a33,drink,1,1,2,3,3,1,3,4,3,5,6,3,3,1,7,1,8,3,5,6,6,6,3,3,9
a34,dry,1,1,2/17/18,3,4,5,16,16,6,6,7,8,9,10,11,5,16,6,6,12,12,7/12,13,14,15
a35,dull,1,1,2,3,4,5,6,7,8,9/24,10,11,12,13,14,15,16,17,18/25,19,20,20,21,22,23
