id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,1,1,1,1,2,1,1,1,6,2,1,15,1,1,1,2,1,2,0/14,2,1,7,1,1,0,0
mh1,mh1,50.0,0,0,0,0,16,16,0,0,0,14,22,0,0,9,0,27,20,0,20,9,21,10,25,9,0,0,21,22,0,0
mh2,mh2,50.0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,0,5,0,1,2,9,1,1,0,1,1,9,9
mh3,mh3,50.0,1,0,1,1,3,3,1,1,1,2,1,1,1,1,1,0,3,1,3,1,3,1,7,1,1,1,3,5,7,7
mh4,mh4,50.0,1,1,2,22,5,5,2,11,5,0,23,14,5,5,20,23,5,0,5,5,5,8,25,5,5,21,5,23,25,26
mnh0,mnh0,50.0,1,1,24,1,15,15,29,1,1,1,22,1,1,1,1,23,17,11,15,1,15,1,22,9,10,1,18,22,22,22
mnh1,mnh1,50.0,1,2,1,18,1,1,1,1,5,1,18,1,1,6,1,18,1,1,1,6,15,6,20,6,1,1,15,18,18,18
mnh2,mnh2,50.0,2,1,2,17,3,3,2,3,4,3,19,3,9,4,3,50,15,12,15,7,15,4,46,4,4,3,15,19,46,46
mnh3,mnh3,50.0,1,2,1,1,1,1,29,3,7,3,23,3,18,6,3,1,1,3,1,6,1,6,1,6,17,3,1,23,1,25
mnh4,mnh4,50.0,1,7,1,27,1,1,1,1,1,1,28,1,1,14,1,28,22,1,23,14,25,14,29,14,1,1,25,28,28,28
mnh5,mnh5,50.0,1,1,1,1,1,1,1,22,10,22,1,22,21,10,22,1,26,22,26,10,26,10,36,13,20,22,26,1,36,36
mnh6,mnh6,50.0,1,3,1,1,1,1,1,5,1,6,12,6,1,1,6,12,1,8,10,1,1,1,17,1,1,6,1,13,12,12
mnh7,mnh7,50.0,1,1,1,1,11,11,31,1,1,4,23,4,1,1,4,23,11,4,13,1,15,1,27,3,1,9,19,26,27,27
mnh8,mnh8,50.0,3,1,3,3,11,11,3,9,4,9,3,9,4,4,9,3,11,9,11,4,17,4,21,5,8,10,18,19,21,21
mnh9,mnh9,50.0,1,3,1,1,15,15,1,1,1,1,18,1,10,6,1,18,15,13,15,7,15,6,18,6,11,1,15,18,18,20
mnh10,mnh10,50.0,1,1,1,10,9,9,1,3,4,3,10,3,4,6,3,10,9,3,9,6,9,6,15,7,4,3,9,10,15,15
mnh11,mnh11,50.0,1,1,19,1,1,1,1,6,1,6,1,6,1,1,6,1,12,6,12,1,15,1,1,5,1,6,15,1,1,16
mnh12,mnh12,50.0,1,2,1,1,1,1,57,7,7,7,1,7,17,7,7,1,23,7,23,9,28,12,33,7,16,7,32,1,33,51
mnh13,mnh13,50.0,1,1,39,1,19,19,1,1,1,1,38,1,1,4,1,38,21,1,19,4,30,6,38,4,11,16,30,38,38,38
mnh14,mnh14,50.0,6,3,6,6,6,18,6,7,7,14,6,14,7,10,14,23,6,14,19,10,20,10,6,11,7,16,20,6,6,6
lpsh0,lpsh0,1.0,1,2,3/19,3,12,12,3/19,3,3,3,16,3,5,5,0/3,16,13,3,13,5,12,5,16/18,5,10,3,12,16,16,18
lpsh1,lpsh1,1.0,1,1,4,4,4,15,4,11,4,11,4,13,4,0,13,21,16/4,11,4,0,0/4,0/5,4,7,9,13,4,4,4,4
lpsnh0,lpsnh0,1.0,1,1,6/7,7,7,7,7,7,7,7,7/26,7,12,7,7,28,17,7,23,9,7,7,26,7,7,16,7,7,26,26
lpsnh1,lpsnh1,1.0,1,1/3,1,1,1,1,28,6,6,6,1,6,14,6/7,16,1,18,6,18/22,7,25,7,1,9,13,6,23,1,1,1
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1/8,1,1,1,6/7,1,7,1,1,7,23,16,7,17,1,20,1,1,1,1,7,16,22,1,1
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1,26,2,2,2,19/20,2,2,2,16,23,1,14,1,9,1,3,19,2/12,2,2,1,20,19,22
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1,1,1,4,1,1,1,9/10,4,1,1,16/17,1,16,4,1,4,20,4,4,13,1,1,1,1
lpsnh5,lpsnh5,1.0,1/2,1,1,3,21,21,1,4,4,4,3,11,9,4,11/14,3,22,4,22,4/7,24,4,3,4,4,16,24,3,3/25,3
lpsnh6,lpsnh6,1.0,1,1,1,1,1,1,22,4,1/4,4,1,4/8,4/7,4,12,1,1,4,1,5,1/17,4,1,6,4,8/13,1/17,18,1,1
lpsnh7,lpsnh7,1.0,1,1,1,16/1/15,1,1,1,1,1,6,18/19,1/6,1,2,9,19,12,6,13,2,14,2/3,18,2/4,1,6,14,19,18,18
lpsnh8,lpsnh8,1.0,32/1,5,1,1,1,1,1,1,1/6,1,1,24,1,20,25,1,1,1,1,20,26,23,30,20,1,24,26,1,1,1
lpsnh9,lpsnh9,1.0,1,1,1,1,1/12,1,1,2,2,2,1,2,2,5,2,1,20,2,20,2,23,2,1,2,7,11,23,25,1,1
lpsnh10,lpsnh10,1.0,1/3/43,1,3/35,3/22,3,3,3,13,4,13,26,13,4,4,13,26,20,13,20,7,3,9,26,4,12,13,3,26,26,34/28
lpsnh11,lpsnh11,1.0,1,5,1,1,1,1,1,1,1,1,1/11,1,1,1,1,1,1,1,1,1,1,7,1/12,1,1,1,9,1,1,1/12/13
lpsnh12,lpsnh12,1.0,1,1,1,1,1,1,22,1,1,1,1,1,1,1/4,10/11,1,14,1,16/15,2,1/17,1,1,1,6,1,1/18,19,1,21
lpsnh13,lpsnh13,1.0,1,1,1/3/12/13,7,3,3,14/15,4,3,4,7,4,3,3,4,7,3,4,3,3,3,5,10,3/6,3,4,3,9,10,11
lpmh0,lpmh0,1.0,72,1,69,0/43,30,29,3,18/4,6,25,50,24,17,8,24,50,0,25,0,8,0/41/42,11,64,13,6,28,0,50,64,0
lpmh1,lpmh1,1.0,5,1,5,5,28,28,5,0,5,18,5/38,0,5,5,25,48,0,18,0,8,35,0,5,5,0,18,35,0/5/38,5,5
lpmnh0,lpmnh0,1.0,1,1,1,1,1,1,1,4,5,4,1,4,5,5,4,1,19,4/12,19,5,18,5,28,5,10,4,18,21,23,26
lpmnh1,lpmnh1,1.0,10,6,11,11/59,51,51,73,13,17,34,59,33,30,17,33,71,51,34,55,17,56,21,67,26/27,28,49,56,62,65,67
lpmnh2,lpmnh2,1.0,1,2,3,57,4,4,69,4,7/8,16/4,23,4,4,10,19/4,4,4,4,4,11/12,21,14,4,15,4,17,22,42,46,55
lpmnh3,lpmnh3,1.0,15,10,15,15,50,52,15,42,17,42,61,42,41,19,47,15,50,42/43,55,21/22,50/56,19/23/24,70,19,26,49,50,59,15,66
lpmnh4,lpmnh4,1.0,75,1,1,69,1,1,70,1,1,43,61/62,43,25/26,1,43,61,52/55,45,52,6,1,16,64,1,21,47,1,62,64,64
lpmnh5,lpmnh5,1.0,3,1,43,5,5,5,3/44,3/21/22,3,3,5,3,15,3,3,5,33/34,3,34,10,5,3,5,11,20,3,5,5,40,5
lpmnh6,lpmnh6,1.0,3,1/2,3,3,3,3,3,14,3,14,3,17/18/14,12,3,19,3,3,14,3,3,28,9/10,39,3,3,18,35,3,47,39
lpmnh7,lpmnh7,1.0,1,1/2,1,37,1/22,1/22,1,1,3,1,37,1/18,15,3,1,37,22,1,29,3,33,3/5,37,10/11,14,20,33,37,43,37
lpmnh8,lpmnh8,1.0,1,1,1,1,25,25,1,8,13,8,36/37,8,17/13,13,22/8,45,25,8,25,13,30,13,35,16/13,13,8,32/33,38,40,44
lpmnh9,lpmnh9,1.0,1,1/2,1,32,1,1,1/57,18/3,3,19,47,19,3,9,21,53/54,28,19,28,9,31,14,45,9,16,24/25,31,47,48,45
lpmnh10,lpmnh10,1.0,1,1,2,33,1,1,67,5,6,19,33/37,19,16,6,19,33/51,23/24,19,32,10,21,6,50,15,5/6,19,21,34,33,47
lpmnh11,lpmnh11,1.0,2/53,1,49/5,5,5,5,49/51,9,9,9,44,9,9,10/12,23,48,5/28,20/9,5,10,42,10,44,10,19,26,42,47,44,44
lpmnh12,lpmnh12,1.0,1,1,1,1,1,1/34,69/70,11,3,22,45,20,9,3,20,45,37,20/23,37,3,41,3,61/62,3,5,26,41,54,45,45
lpmnh13,lpmnh13,1.0,1,1,1,54/72,1/41,1,73/74,11,5,18,64,17,9,5,17/23,64,45,17,49,5,53,5,70,7,5,39,53,67,64,69
lphh0,lphh0,1.0,1,1,1,160,0/147,147,173/174,1,5,1,0/163,1,30,24,51,0,151,48,152,24,156,24,169,26,40/42,0,156,0,0,166
lphh1,lphh1,1.0,1,4,1,6/63,6/40,0,70,0,0,0,6,36,0,0,38,61,44,34/35,53,13,0/57,0/15,0,0,0,36/39,0,6,59,59
lphnh0,lphnh0,1.0,50,3,5,5,5,28,5,7,11,23,34/35,23,7,20/21,23,49,29,26,30,12,31,12,43,19,7,23,32,42,43,44
lphnh1,lphnh1,1.0,1,4,1,6,6,84/6,111,62,9,62,100,66,9/60,10,80,106,88,62,91/92,52,94,9,6,9,58,66,96,101,6,104
lphnh2,lphnh2,1.0,1,1/3,1,88,39,40,90,6,8,18,65,18,14,12,22,83,45,20,45,8,62,11,73,8/12,14,30,64/62,68,73,73
lphnh3,lphnh3,1.0,1,1,1,1,1,1,147/148,50/53,8,50/56,119,50,7,7,50/57,109,59,55,60,9,100/106,15,142,16,18,50,100,109,121,140/141
lphnh4,lphnh4,1.0,1,1/3,77,63,49,49,79,7,8,29/31,67,29,7,8,29,67,53,35,56,8/11,57,18,70,8,7,46/47,57/62,67,67,69
lphnh5,lphnh5,1.0,1,1,102,1,43,43/44,102,8,10,30,63,33,26,17,34,101,45,32,47,17,43,20,64,17,24,40,49,62,64/67/68,99
lphnh6,lphnh6,1.0,13,1,20,19,19,19,20,21,21,43,88,50,42,21,52,88,72/74,47,82,21,83,21,88,33,36,65,85,88,88/89,88/90
lphnh7,lphnh7,1.0,7,4,7,39/95,42,42,7,14,21,14,61,30,19,25,31,94,52,14,53,21,54,21,73,25/26,27,35,46,69/71,61,92
lphnh8,lphnh8,1.0,112,1,6,106/108/109,6,6,6,6,21,35/6,76,41,32,27,44,104,52,39,57,27,63,27,92,27,32,41,67,76,80/76,81/82
lphnh9,lphnh9,1.0,96/97/4,2,4,4/85,4,4,95,55,20,57,76,54,53,32,60,4,64/66/67,54,68/69,41,64/70,44,84,50,52,63,73,4,4,79
lphnh10,lphnh10,1.0,1,1,64,62,4,4,64,13,4,4,48,4,4,10,26,58,29,25,31,10,35/4,10,48,10,4,4/27,36,48/49,48,48/52
lphnh11,lphnh11,1.0,1,3,6,6,59,59/60,6,51,15,54,80,54,48,15,54,75,63,57,67,17,61,18,94,15,35,54,61,88/89,93,92
lphnh12,lphnh12,1.0,1,2/3,80,68,1,1,81,49,4,50,71,53,4,18,53,68,60,50,60,18,63,18,76/78,22/23,46,55/57,64,71,75,76
lphnh13,lphnh13,1.0,1,2,1,1/78,1/30,1/30,86,24/25,12,24,50,24,21,12,27,74,34,24,35,12,44,12,64,12,17,29,44,53,48,57/61
lnpsh0,lnpsh0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,6,1,1,1,4,1,1,1
lnpsh1,lnpsh1,1.0,21,1,2,2,16,16,2,2,5,7,2,7,5,5,7,2,18,11,18,5,16,5,2,5,5,15,16,2,2,19
lnpsh2,lnpsh2,1.0,12,2,1,1,1,1,1,6,1,6,1,6,1,1,7,1,10,6,10,5,1,1,1,1,1,6,1,1,1,1
lnpsh3,lnpsh3,1.0,0,1,0,0,0,0,0,0,0,0,13,0,0,5,0,0,10,0,10,7,10,5,0,5,0,0,10,13,0,0
lnpsh4,lnpsh4,1.0,1,1,1,1,1,1,1,1,1,1,45,1,0,1,1,45,18,1,18,1,20,13,45,1,1,1,21,46,45,45
lnpsh5,lnpsh5,1.0,1,12,1,22,0,20,1,1,1,16,24,16,1,1,16,26,1,16,21,1,1,1,24,1,1,19,1,0,24,24
lnpsh6,lnpsh6,1.0,1,2,1,1,1,1,13,1,1,1,1,1,1,1,1,1,9,0,10,1,1,1,11,1,1,1,0,1,1,1
