id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,0,0,0,0,0,0,17,15,20,1,1,22,0,1,22,17,1,1,1,2,0,1,1,12,12,1,1,12,14,0
mh1,mh1,50.0,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,20,1,1,1,1,7,1,1,19,15,3,1,15,15,15
mh2,mh2,50.0,1,2,1,3,2,3,17,1,17,3,3,17,1,3,0,0,3,3,8,3,1,3,3,12,12,3,3,14,12,12
mh3,mh3,50.0,9,1,9,1,1,1,0,9,16,1,1,9,12,1,20,18,1,1,1,8,9,1,4,14,14,4,5,14,14,14
mh4,mh4,50.0,1,1,1,1,16,1,1,1,1,1,1,22,17,1,0,1,1,1,1,1,1,14,0,20,20,6,10,20,20,20
mnh0,mnh0,50.0,27,1,1,1,8,1,28,12,28,1,1,28,16,1,28,28,4,1,1,7,14,1,1,12,23,1,1,22,12,12
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,1,1,1,17,13,1,1,13,13,13,13,1,13,6,1,1,7,9,19,1,1
mnh2,mnh2,50.0,1,1,11,1,1,1,1,21,1,1,1,1,11,1,23,1,1,1,1,1,11,1,2,14,14,3,4,14,19,19
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,13,1,1,1,13,1,24,13,13,13,13,1,13,8,21,21,8,12,21,21,21
mnh4,mnh4,50.0,1,1,1,1,1,3,23,7,20,3,3,21,8,3,21,23,3,3,3,3,7,3,6,10,10,6,3,14,10,10
mnh5,mnh5,50.0,1,1,1,2,1,2,24,10,23,2,2,26,16,9,24,24,2,2,2,2,10,2,4,19,22,4,2,20,19,19
mnh6,mnh6,50.0,43,5,31,5,5,5,46,33,44,27,27,44,33,27,48,46,27,27,27,27,33,27,26,33,42,25,25,41,33,33
mnh7,mnh7,50.0,1,1,11,1,9,1,1,12,28,1,1,1,12,1,1,29,1,1,1,1,15,1,2,22,22,3,1,22,22,22
mnh8,mnh8,50.0,1,1,12,1,1,1,1,28,1,1,5,1,14,1,1,1,6,1,1,1,12,1,1,26,24,1,1,24,27,27
mnh9,mnh9,50.0,1,1,1,1,1,1,60,1,57,38,38,57,1,38,57,67,38,38,38,40,1,38,8,48,53,8,36,52,45,45
mnh10,mnh10,50.0,1,1,1,1,1,9,1,16,1,9,9,1,16,9,1,20,9,9,9,9,18,9,13,19,19,13,9,19,19,19
mnh11,mnh11,50.0,1,1,1,1,1,1,29,8,29,6,1,33,8,6,29,29,6,6,6,6,8,7,1,28,25,1,3,25,25,25
mnh12,mnh12,50.0,9,1,9,1,1,2,26,25,26,2,2,26,11,2,32,26,2,2,2,2,11,2,3,20,20,4,7,20,23,22
mnh13,mnh13,50.0,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,5,8,13,10,2,32,32,2,4,32,34,34
mnh14,mnh14,50.0,1,10,11,1,10,2,27,13,27,9,8,27,13,9,30,27,9,9,9,9,13,9,2,25,22,2,2,24,22,22
lpsh0,lpsh0,1.0,0,0/1,6,1,1,1,0,6,0,1,1,0,6,1,0,0,1,1/5,1,1,6,1,0,6,0/6,2,1,0,6,6
lpsh1,lpsh1,1.0,0,0,11,0/1,0,1,0,0,0,1,6,0,0,1,0,0,1,9,1,8,12,8,1,16,16,1,4,16,16,16
lpsh2,lpsh2,1.0,1/9,1,1,1,1,1/4,18,1,9,1,1,20,1,1,9,9,1,1/8,1/6,1,11,1,5,0,13/14,5,1,0,15,16/1
lpsh3,lpsh3,1.0,1,0,1,0,0,0/2,17,1,17/18,0,0,0,1/10,0,17,19,0,0,0,0,11,0,0,1,1,3,6,1,0,0/1
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,34,21,1,1,13,34,25,1,34,34,15,1,1,1/19,21,18,1,30,33/30,9/10,1,30,30,30
lpsnh1,lpsnh1,1.0,1,1/11,1,1,1,2,16/1,1,1,2,2,17,14,2/10,1,16,2,2,2,2,1,2,3,1,1,4,7,1,1,1
lpsnh2,lpsnh2,1.0,1,1,1,2,1,2,1/45,42,1,2,2,46,5,2,1,1,2,2,2,2,21,2,2/3,27,35,2,2,27/30,39,27
lpsnh3,lpsnh3,1.0,26,1,10,1/3,9,1/3,26,25,31,3,3,26,11,3,32,26,3,3/8,3,3/7,11,3,3,11,22/24,5,3/6,11,11,11
lpsnh4,lpsnh4,1.0,1,1,1,2,23,1,1,34,1,1,1,1,24,1,1,1,1,13,1,1,24,1,7,27,27,7,1,31,27,27
lpsnh5,lpsnh5,1.0,1,1,1,2/3,11,1,20,1,20,7/8,1,20,1,8,20,20,8,8,8,9/10,14,8,1,15,17,1,1/6,15,15,15
lpsnh6,lpsnh6,1.0,1,1,1,3,1,5,1,1,1,7,7,1,1,7,1/33,30,16/7,17,7,7,1,7,9,1,29,9/11,7/14,22,1,1
lpsnh7,lpsnh7,1.0,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1/12,1,1,1,1,6/7,8,6,1,1,1,4,1,10,1,1/11
lpsnh8,lpsnh8,1.0,1,16/1,1,1/2,16/1,1,1/25,1,1,2,2,1,1,2,1,1,2,12/14,2,2,19/20,2,4,1,1,5,8,1,23,22
lpsnh9,lpsnh9,1.0,1,1,9,1,1,1,1,1,1,6,6,1,1,6,1,1,6,6,6/7,6/8,12,6,1,17,17,1,4,19,20,20
lpsnh10,lpsnh10,1.0,1,1/2,1,2/3,1,2/4,1,1,1,2,2,91,17/15,2,1,1,2,2/9,2/8,2,11,2,2,1,34,5,6,19,36,36
lpsnh11,lpsnh11,1.0,1,1,1,1,1,1,1,1,22,14,1,1,1/19,14,1,1,14,14,14,14,18,14,5/9/11,1,1,5,1,1,1/21,1
lpsnh12,lpsnh12,1.0,1,1,1,1,1,1,1,1,1,8,7,1/19,1,5/10,20,1,5,5,5,5,1,5,1,1,1,1,1,14,1/18,1
lpsnh13,lpsnh13,1.0,1,1,1,1,1,1,39,1,36,1,1/8,38/41,20,1,38,39,1,1,1,16/15,18,1,1,24,29/31,5,1/7,27,32,33
lpsnh14,lpsnh14,1.0,1,1,1,1,1,1,1,14,1,1,1,24/25,16/14,1,1,20,1,1,1,1,15,1,1/2,18/14,14,4,12,14,14,14
lpsnh15,lpsnh15,1.0,1,1,20,1,1,1/4,1,20,1,1,1,1,23,1,1,1,12,1,12,1,23,15,4,26,26,1,10,26,26,26
lpsnh16,lpsnh16,1.0,1,1,1,1,1,1,29,1,29,6,11,29,18,6,29,29,6,6,6,6,16/17,6/14,6/9,1,1,6/10,6,1/21,23,1/24
lpsnh17,lpsnh17,1.0,25,1,10,1,1/8,2,25,10,27,4/5,2,28,10,4/5,25,25,6,4,6,4/5,13,4/5/7,2,10,10,2,2,18,10,19/10
lpsnh18,lpsnh18,1.0,1,1,12,1,1,1,31,13,33,1,1,31,13,10,31,31,1,1,1,1,16/13,1,3,23,30,3/7,1,23,21,21
lpsnh19,lpsnh19,1.0,1,1,1,1,9,1,1,1,1,6,6,1,10,6,1/21/22,1,6,6,6/7,6,11/12,6,3,1,1,3,4,16/17,1,20
lpsnh20,lpsnh20,1.0,11,1,13,1,1,1,11,13,23/11,1,1,25,13/15,1,26,11,1,1,1,1,15,8,4,17,17,4/6,1,17,17/20/21,20
lpsnh21,lpsnh21,1.0,1,1,1,1/2,1,1,16/1,1,1,1,1,1,1,1/5,19,16/18,1,1,1,1,6,4,3,1/8,8,3,1,8,1,10
lpsnh22,lpsnh22,1.0,1,1,1,1,1,1,1,1/12,16,1,1,1,1,1,1,1,1,4,1,1,1,1,1,9,9,1,3,9,1,1
lpsnh23,lpsnh23,1.0,1,2/3,1,2/3,14,2/3,32/31,1,1,2,2,36,1,2,45/47,35,2,2,8,11,1,2,4,18,18,4,3,23,26,26
lpsnh24,lpsnh24,1.0,1,1,1,1,1,1,1,17,20,1,1,22,1/10,1,23,1,7,1,7/8,1/6,1,6,3,11,13,3,1/5,11,1,1
lpsnh25,lpsnh25,1.0,1,1,1,1,1,1,14,1,12,5,5,11,1,5,15,14,5,5,5,5,1,5/6,3/4,1/9,9,3,1,9,1,1
lpsnh26,lpsnh26,1.0,1,1,16,1,1,1,19,16,1,1,1,21,16,1,19/21,19/20,1,1,1/14,1,16,1,8,18,18,9,1,18,18,18
lpsnh27,lpsnh27,1.0,1,16,22/24,1,16,1,1,23/28,1,1,1/12,1,23,1,29,1,1,1,13,1,23,15,1/3,23,23,6/7,11,23,23,23
lpsnh28,lpsnh28,1.0,1,1,1,1,1,1,16/18,1,16/18,2,4,16,6,2,22/23,18,2,2,2,2,1,2,1,7,8/10,1,1,7,11,7
lpmh0,lpmh0,1.0,1,0,1,10,0,10,45,1,0,10,10,0,1,10,45,45,22,10,20/10,10,1,0/10,15,38,38/39,10,18/19,38,34,34
lpmh1,lpmh1,1.0,1,2,1,0,2/21,0,1,0,1,6/7,6/7,1,23,7,1,1,7,7,7,16,0,0,10,23,23/24,13,6,0/23/24,23,23
lpmh2,lpmh2,1.0,1,19/20/21,1,0,20,27,42,1,42,27,27,43,1,27,42,42,31,27,33,27,0,27,27,1,1,27/29,30,1,1,40
lpmh3,lpmh3,1.0,0,1,13,1,1,2,61,13,60,2,8,0,19/13,2,66,61,9,2,2,10,22,12,2,44/46,53,6,2,44,58,58
lpmh4,lpmh4,1.0,1,1,1,8,1,8,1/29,1,0,8,12,38/41,1/20,8,1,29,8,8,14,8,22,8,8/11,1,1,8,8,1,24/25,27
lpmnh0,lpmnh0,1.0,74,12,50,12,48,13,78,73,76,13,13,82,57,24,82/84/85/86,78,24,24,27,47,57/58,28,20,66,66,20,23,66,69,69
lpmnh1,lpmnh1,1.0,19,1,1/19,1,1/18,2,48,19/38,45,7,1,53,19,17/7,39,48,11,7,11,14,22,15,3,31,31,3,3,31,37,37
lpmnh2,lpmnh2,1.0,30/31,1,21,1,16,1,37/30/31,21,36,11,10,44,21,10/15,41,38,10,10,10,10/12,22/23,12,5,21,28,5,3/8,21,29,21
lpmnh3,lpmnh3,1.0,1,11,14,3,11,3,1,15,1,3,6,1,18,3,32,30,3,3,3,3,20/22,3,3,23,25,3,3,24,23,23
lpmnh4,lpmnh4,1.0,1,1,74,1,73,4/5,101,98,1,4,4,1,79,4,1,101/102,15,72,17,63,80,18,7,89,94,13,4,89/91,89,89
lpmnh5,lpmnh5,1.0,1,28,32/31,2,28,6,1,39,1,6,24,1,44,6,1,1,6,6,6,6,43,27,8/9,48,48,6,19,48,39,39
lpmnh6,lpmnh6,1.0,35/36,1,1,1,19,1,36,33/20,36/37,1,1/12,36,21,1,36,36,1/13,1,1,16,22,17,5,32/24,30/31,5/10,11,24,24,24
lpmnh7,lpmnh7,1.0,1/27,1,1,1,14,1/2/3,27,1/26,27/30,7,7,55,1,7,53,27,7,7,10,11,18,7,2,1/24,22,2,6,21,1,25
lpmnh8,lpmnh8,1.0,65,2,50,3,2,3,65/66,50,65,16,16,65,55,16/41/42,65,66,16,39,16,16,50,37,22,58,58,22,28,58,60,64
lpmnh9,lpmnh9,1.0,67,2,46,2/4,2,4,67,64,67,4,4,69,48,4,67/70,67,37,4,19/21,44,49,38/40,9,55,55,10/11,6,59/61,55/62,55
lpmnh10,lpmnh10,1.0,1,1,1,1,1,3,43,36,43,4,14,51/43,1/22,4,43,43,17/4,4,4,18,1,18/19,5,26,30,8,11,26,32,34
lpmnh11,lpmnh11,1.0,23,9,23/24,11,9,11,36/23,23,23,21/11,20,23,23,11,23,35/36/23,11,11,22/11,11,23,11,15,27,29,16,11,27,32/27/31,33
lpmnh12,lpmnh12,1.0,1,1,17,1/2,16,2,1,1/28,1,2,2,1/30,1,2,35,1/29,2/12,2,2,2,1/19,2,8,1,25,10,2,22,1,1
lpmnh13,lpmnh13,1.0,28,2,19,2,2,2/4,29,19,29,3/13,2,29,19,3,29,29,3,3/15,3,3,19,3,6,24,24,10,3,24,25,19
lpmnh14,lpmnh14,1.0,52,1,1,1,1,2,55,1,58,12,5,55,33,13,55,55/61,13,13,13,13,33,30,5,42,42,5/6,5,48/42,50,50
lpmnh15,lpmnh15,1.0,48/1/47,1,1,1,18,1,1,1,49,1/10,1,54,1,1,54,1,11,1,11/12,13,1,13/14,1,25,28,7,1/9,30/31,45,34
lpmnh16,lpmnh16,1.0,86,1,17,1,1,1,90,22,86/89,1,1,91,22,1,91,90,1,1/14,1,1,24,1,9,61,67,9,8,61,70/72,69
lpmnh17,lpmnh17,1.0,1,1/2,1/42,1,1,1,1,46,1,1,13,1,46,41,1/58,55,1,41,1,40,49,1,3,46,46,5,11,46,46,46
lpmnh18,lpmnh18,1.0,1,1,27,1,1,1,51,27,1,13,19,53,27,13,57/58,51,21/13,13,13,13,27,24,9/11,40,40/45,11,1,44,40,46
lpmnh19,lpmnh19,1.0,19,1,1,1,13,2,20/22,1,20,10,1,24,1,1/10,24,23,1,1,1,1,1,1,1,16,16,3,1,17,1,1
lpmnh20,lpmnh20,1.0,1,3,18,3,3,4,1,43,50,9,4,52,19,15,45,1,11,16,10,9,20,13/14,5,19,19,7,8,19,24,42
lpmnh21,lpmnh21,1.0,69,42,48,1,42,2,69,52,73,2,30,80,58,2,77,75,2,2,2,37,54,2,18,52,52,29,7,52,65,65
lpmnh22,lpmnh22,1.0,25,3,25,3,3,3,56,25,25,3,3,25,30,23,25,56,3,23,3,3/19,25/29,3,8,41,47,11,16,41,51,54
lpmnh23,lpmnh23,1.0,1,1,1/23,1/2,1,6,1,55,56,10/11,10/14/15,57,24,10,58,1,10/11,17/19,10/11,16,26,16,10,24,44,10,10,28,45,45
lpmnh24,lpmnh24,1.0,1,2,29,1/2,28,3/4,1,38,1,23,12,41,29,23,1,1,23,23,23,26,30/31,25,16,35,35,19/21,12,35,37,35
lpmnh25,lpmnh25,1.0,1,1/15,1,1/4,15,5,30,28,1,5,10,49,1,11,1,30,11,12,11,5,16/1,5,5,22,22,5,5/8,22/23,17/25,17
lpmnh26,lpmnh26,1.0,1/33/34,2,33/34,2/3,2,6,139,33,33/139,24,6,141,36,24,139,139,24,24/30,24,24,39/40/41,24,8,128,134,20,7,128,128,135
lpmnh27,lpmnh27,1.0,1,2,1,2,2/15,2,27/28,22,27,9/10,2,30,17,9,1,27,9,9,13,9,17,9,2,1,1,5,6,1,1,21
lpmnh28,lpmnh28,1.0,36,1,1,2,23,1,44,1,38/40/41/42,10,1,38,1/24/25,17/18,38,44,11,11,11,16,1,14,4,1,1,4,6/7/8,1,34,35/30
lphh0,lphh0,1.0,0,1,1,1,1,4,39,25,39,1,1/20,39,26/28,23,0/63,44,21,23,21,22,26,1,1,29,32/29,13,19,29,29,36
lphh1,lphh1,1.0,49,1,49,1,44,4,0/124,103,119,4,0/24,128,87,4,0,123,4,4,4,29,79,0/4/27/28,0,71,0,0,22,0,71,71
lphh2,lphh2,1.0,1,2,1,3,0,3,1,81,82,3,3,102,47,3,1,1,0,3,3,3/10,44,3,5,51,67,5,5,60,80,69
lphh3,lphh3,1.0,0,0/1,58,2/3,0,0/6,0,88/62,0,44/45,10/43,93,74/62,51,0,0/91,0,51,0,50,0,50,23,76,79,31,38,75,85,75
lphnh0,lphnh0,1.0,1,7,42,8,39,8,1,43,1,24,24,77,59,24,84,1,25,24,29,37,43/45,34,11,65,68,13,22,67,70,70/72
lphnh1,lphnh1,1.0,1,11,1,11,50,11,1,1,1,12,33,119,1,41,1,1,35/12,43/45,34,12,87/89,38/39,18,101/90,99/100,18,32,92/94,107,111
lphnh2,lphnh2,1.0,25,2,31,2,2,2,90,31,90,2,2,90,37,2,98/90,90,2,21,2,18/19,35,18,3/4,84,82,11,13,64,64/88,88
lphnh3,lphnh3,1.0,1,1,1,4,1,4,91,55,60,4,22,100,32/34,4,102,89,4,4,25,26/28,32,26,4,35,46,11,15,1,53,1/54
lphnh4,lphnh4,1.0,60/61,1,34,1,33,1,75,34,60,25/26,25,60,38,26,60,72/74,25,26,25,25/27,47,25,7,54,52,10,22/23/24,53,34/56,57
lphnh5,lphnh5,1.0,64,1,35/30,1,26,3,99/100/101,63,95,14,12,103,38,24,99,101,15,24,19,22,37,21,7,44,60,7,10,44,62,62
lphnh6,lphnh6,1.0,132,1,1,7/8,66,7,149,1/129,144,7,7,147,1,7,152,150,7,60/62,7,7,72,7,40,88,88/90/91,48,56,88,125,128
lphnh7,lphnh7,1.0,59,57,1/60,1,58,5,131/119/123,118,119,43,43,119,62,43,138,130,43,43,43,54,1,52,7/8,82/74,81,32,7,79,113,87
lphnh8,lphnh8,1.0,62,1,63,12,61,15,90/91/92,64,84,16,16/38,79,64/66,16/52,104,89/90/91/92,41,16,41,49,65,44,22,64,69,22,36/37,64,73,72
